Name,Age,Season,Transfer_fee,pac,dri,sho,def,pas,phy
Neymar,25,2017-2018,222000000,91,95,84,30,78,56
Kylian Mbapp,19,2018-2019,135000000,90,84,80,47,74,74
Philippe Coutinho,25,2017-2018,125000000,82,87,74,33,82,56
Cristiano Ronaldo,33,2018-2019,117000000,90,90,93,33,82,80
Ousmane Dembele,20,2017-2018,115000000,84,82,72,41,70,52
Paul Pogba,23,2016-2017,105000000,77,86,80,74,82,88
Gareth Bale,24,2013-2014,101000000,92,85,79,74,81,71
Cristiano Ronaldo,24,2009-2010,94000000,94,97,92,31,84,77
Gonzalo Higuain,28,2016-2017,90000000,80,81,84,22,68,71
Neymar,21,2013-2014,88200000,91,91,79,44,74,59
Romelu Lukaku,24,2017-2018,84700000,82,74,82,34,66,84
Luis Suarez,27,2014-2015,81720000,81,90,83,56,75,72
Virgil van Dijk,26,2017-2018,78800000,67,67,61,79,65,83
Zinadine Zidane,29,2001-2002,77500000,82,92,90,72,93,83
Kevin De Bruyne,24,2015-2016,76000000,77,81,80,41,80,69
James Rodríguez,23,2014-2015,75000000,,,,,,
Ángel Di María,26,2014-2015,75000000,,,,,,
Thomas Lemar,22,2018-2019,70000000,,,,,,
Zlatan Ibrahimovic,27,2009-2010,69500000,,,,,,
Riyad Mahrez,27,2018-2019,67800000,,,,,,
Diego Costa,29,2017-2018,66000000,,,,,,
Álvaro Morata,24,2017-2018,66000000,,,,,,
Kaká,27,2009-2010,65000000,,,,,,
Aymeric Laporte,23,2017-2018,65000000,,,,,,
Edinson Cavani,26,2013-2014,64500000,,,,,,
Pierre-Emerick Aubameyang,28,2017-2018,63750000,,,,,,
Raheem Sterling,20,2015-2016,63700000,,,,,,
Ángel Di María,27,2015-2016,63000000,,,,,,
Alisson,25,2018-2019,62500000,,,,,,
Luís Figo,27,2000-2001,60000000,,,,,,
Anthony Martial,19,2015-2016,60000000,,,,,,
Oscar,25,2016-2017,60000000,,,,,,
Naby Keïta,23,2018-2019,60000000,,,,,,
Fred,25,2018-2019,59000000,,,,,,
Fernando Torres,26,2010-2011,58500000,,,,,,
Benjamin Mendy,23,2017-2018,57500000,,,,,,
Jorginho,26,2018-2019,57000000,,,,,,
Hernán Crespo,25,2000-2001,56810000,,,,,,
Hulk,29,2016-2017,55800000,,,,,,
John Stones,22,2016-2017,55600000,,,,,,
Alexandre Lacazette,26,2017-2018,53000000,,,,,,
Gianluigi Buffon,23,2001-2002,52880000,,,,,,
Kyle Walker,27,2017-2018,52700000,,,,,,
Leroy Sané,20,2016-2017,50500000,,,,,,
Alex Teixeira,26,2015-2016,50000000,,,,,,
Bernardo Silva,22,2017-2018,50000000,,,,,,
David Luiz,27,2014-2015,49500000,,,,,,
Gylfi Sigurdsson,27,2017-2018,49400000,,,,,,
Gaizka Mendieta,27,2001-2002,48000000,,,,,,
Mesut Özil,24,2013-2014,47000000,,,,,,
Christian Benteke,24,2015-2016,46500000,,,,,,
Rio Ferdinand,23,2002-2003,46000000,,,,,,
Ronaldo,25,2002-2003,45000000,,,,,,
James Rodríguez,21,2013-2014,45000000,,,,,,
Granit Xhaka,23,2016-2017,45000000,,,,,,
Fabinho,24,2018-2019,45000000,,,,,,
Vinícius Júnior,18,2018-2019,45000000,,,,,,
Juan Mata,25,2013-2014,44730000,,,,,,
Nemanja Matic,29,2017-2018,44700000,,,,,,
Nicolás Otamendi,27,2015-2016,44600000,,,,,,
Andriy Shevchenko,29,2006-2007,43300000,,,,,,
Robinho,24,2008-2009,43000000,,,,,,
Falcao,27,2013-2014,43000000,,,,,,
Julian Draxler,21,2015-2016,43000000,,,,,,
Juan Sebastián Verón,26,2001-2002,42600000,,,,,,
Alexis Sánchez,25,2014-2015,42500000,,,,,,
Rui Costa,29,2001-2002,42000000,,,,,,
Javier Pastore,22,2011-2012,42000000,,,,,,
Thiago Silva,27,2012-2013,42000000,,,,,,
Jackson Martínez,29,2015-2016,42000000,,,,,,
Henrikh Mkhitaryan,27,2016-2017,42000000,,,,,,
Leonardo Bonucci,30,2017-2018,42000000,,,,,,
Mohamed Salah,25,2017-2018,42000000,,,,,,
Lilian Thuram,29,2001-2002,41500000,,,,,,
Corentin Tolisso,22,2017-2018,41500000,,,,,,
Sadio Mané,24,2016-2017,41200000,,,,,,
Andy Carroll,22,2010-2011,41000000,,,,,,
Roberto Firmino,23,2015-2016,41000000,,,,,,
Shkodran Mustafi,24,2016-2017,41000000,,,,,,
Malcom,21,2018-2019,41000000,,,,,,
João Cancelo,24,2018-2019,40400000,,,,,,
Marc Overmars,27,2000-2001,40000000,,,,,,
David Villa,28,2010-2011,40000000,,,,,,
Sergio Agüero,23,2011-2012,40000000,,,,,,
Falcao,25,2011-2012,40000000,,,,,,
Hulk,26,2012-2013,40000000,,,,,,
Lucas Moura,20,2012-2013,40000000,,,,,,
Javi Martínez,24,2012-2013,40000000,,,,,,
Axel Witsel,23,2012-2013,40000000,,,,,,
Fernandinho,28,2013-2014,40000000,,,,,,
Paulo Dybala,21,2015-2016,40000000,,,,,,
João Mário,23,2016-2017,40000000,,,,,,
Julian Draxler,23,2016-2017,40000000,,,,,,
Federico Bernardeschi,23,2017-2018,40000000,,,,,,
Cédric Bakambu,26,2017-2018,40000000,,,,,,
Ederson,23,2017-2018,40000000,,,,,,
Tiemoué Bakayoko,22,2017-2018,40000000,,,,,,
Paulinho,29,2017-2018,40000000,,,,,,
Davinson Sánchez,21,2017-2018,40000000,,,,,,
Douglas Costa,27,2018-2019,40000000,,,,,,
Richarlison,21,2018-2019,39200000,,,,,,
Gonzalo Higuaín,25,2013-2014,39000000,,,,,,
Michy Batshuayi,22,2016-2017,39000000,,,,,,
Pavel Nedved,28,2001-2002,38700000,,,,,,
Didier Drogba,26,2004-2005,38500000,,,,,,
Michael Essien,22,2005-2006,38000000,,,,,,
Fernando Torres,23,2007-2008,38000000,,,,,,
Dimitar Berbatov,27,2008-2009,38000000,,,,,,
Diego Costa,25,2014-2015,38000000,,,,,,
Eric Bailly,22,2016-2017,38000000,,,,,,
André Silva,21,2017-2018,38000000,,,,,,
Alex Oxlade-Chamberlain,24,2017-2018,38000000,,,,,,
Radja Nainggolan,30,2018-2019,38000000,,,,,,
Felipe Anderson,25,2018-2019,38000000,,,,,,
Danny Drinkwater,27,2017-2018,37900000,,,,,,
David Beckham,28,2003-2004,37500000,,,,,,
Luke Shaw,18,2014-2015,37500000,,,,,,
Arturo Vidal,28,2015-2016,37500000,,,,,,
Jackson Martínez,28,2015-2016,37100000,,,,,,
Filippo Inzaghi,27,2001-2002,37000000,,,,,,
Wayne Rooney,18,2004-2005,37000000,,,,,,
Edin Dzeko,24,2010-2011,37000000,,,,,,
Mario Götze,21,2013-2014,37000000,,,,,,
André Gomes,22,2016-2017,37000000,,,,,,
Gabriel Batistuta,31,2000-2001,36150000,,,,,,
Hernán Crespo,27,2002-2003,36000000,,,,,,
Ander Herrera,24,2014-2015,36000000,,,,,,
Geoffrey Kondogbia,22,2015-2016,36000000,,,,,,
Vitolo,27,2017-2018,36000000,,,,,,
Javier Saviola,19,2001-2002,35900000,,,,,,
Clément Lenglet,23,2018-2019,35900000,,,,,,
N'Golo Kanté,25,2016-2017,35800000,,,,,,
Dani Alves,25,2008-2009,35500000,,,,,,
Willian,25,2013-2014,35500000,,,,,,
Romelu Lukaku,21,2014-2015,35360000,,,,,,
Arjen Robben,23,2007-2008,35000000,,,,,,
Karim Benzema,21,2009-2010,35000000,,,,,,
Eden Hazard,21,2012-2013,35000000,,,,,,
Willian,24,2012-2013,35000000,,,,,,
Morgan Schneiderlin,25,2015-2016,35000000,,,,,,
Mats Hummels,27,2016-2017,35000000,,,,,,
David Luiz,29,2016-2017,35000000,,,,,,
Moussa Sissoko,27,2016-2017,35000000,,,,,,
Renato Sanches,18,2016-2017,35000000,,,,,,
Antonio Rüdiger,24,2017-2018,35000000,,,,,,
Victor Lindelöf,22,2017-2018,35000000,,,,,,
Nicolas Anelka,21,2000-2001,34500000,,,,,,
Xabi Alonso,27,2009-2010,34500000,,,,,,
Cesc Fàbregas,24,2011-2012,34000000,,,,,,
Arda Turan,28,2015-2016,34000000,,,,,,
Memphis Depay,21,2015-2016,34000000,,,,,,
Ángel Di María,22,2010-2011,33000000,,,,,,
Cesc Fàbregas,27,2014-2015,33000000,,,,,,
Marouane Fellaini,25,2013-2014,32400000,,,,,,
Wilfried Bony,26,2014-2015,32300000,,,,,,
Ronaldinho,23,2003-2004,32250000,,,,,,
Oscar,20,2012-2013,32000000,,,,,,
Asier Illarramendi,23,2013-2014,32000000,,,,,,
André Schürrle,24,2014-2015,32000000,,,,,,
Miralem Pjanic,26,2016-2017,32000000,,,,,,
Gabriel Jesus,19,2016-2017,32000000,,,,,,
Arkadiusz Milik,22,2016-2017,32000000,,,,,,
Iñigo Martínez,26,2017-2018,32000000,,,,,,
Shaun Wright-Phillips,23,2005-2006,31500000,,,,,,
Anderson,19,2007-2008,31500000,,,,,,
Danilo,23,2015-2016,31500000,,,,,,
Marquinhos,19,2013-2014,31400000,,,,,,
Christian Benteke,25,2016-2017,31200000,,,,,,
Juan Cuadrado,26,2014-2015,31000000,,,,,,
Adam Lallana,26,2014-2015,31000000,,,,,,
Mateo Kovacic,21,2015-2016,31000000,,,,,,
Arthur,21,2018-2019,31000000,,,,,,
Robin van Persie,29,2012-2013,30700000,,,,,,
Nélson Semedo,23,2017-2018,30570000,,,,,,
Alessandro Nesta,26,2002-2003,30500000,,,,,,
Eliaquim Mangala,23,2014-2015,30500000,,,,,,
Islam Slimani,28,2016-2017,30500000,,,,,,
Ricardo Carvalho,26,2004-2005,30000000,,,,,,
Pepe,24,2007-2008,30000000,,,,,,
Franck Ribéry,24,2007-2008,30000000,,,,,,
Danny,25,2008-2009,30000000,,,,,,
Mario Gómez,23,2009-2010,30000000,,,,,,
Yaya Touré,27,2010-2011,30000000,,,,,,
Manuel Neuer,25,2011-2012,30000000,,,,,,
Fábio Coentrão,23,2011-2012,30000000,,,,,,
Luka Modric,26,2012-2013,30000000,,,,,,
Roberto Soldado,28,2013-2014,30000000,,,,,,
Isco,21,2013-2014,30000000,,,,,,
Érik Lamela,21,2013-2014,30000000,,,,,,
Antoine Griezmann,23,2014-2015,30000000,,,,,,
Carlos Bacca,28,2015-2016,30000000,,,,,,
Douglas Costa,24,2015-2016,30000000,,,,,,
Rodrigo,24,2015-2016,30000000,,,,,,
Heung-min Son,23,2015-2016,30000000,,,,,,
Álvaro Morata,23,2016-2017,30000000,,,,,,
Paco Alcácer,23,2016-2017,30000000,,,,,,
Kévin Gameiro,29,2016-2017,30000000,,,,,,
André Schürrle,25,2016-2017,30000000,,,,,,
Gonçalo Guedes,20,2016-2017,30000000,,,,,,
Yannick Carrasco,24,2017-2018,30000000,,,,,,
Keita Baldé,22,2017-2018,30000000,,,,,,
Danilo,26,2017-2018,30000000,,,,,,
